2024-03-04 17:27:39,191 - INFO - Iniciou Leitura da serial
2024-03-04 17:27:39,200 - INFO - Iniciado file processor
2024-03-04 17:30:17,243 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:18,266 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:19,287 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:20,310 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:21,332 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:22,355 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:23,377 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:24,399 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:25,421 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:26,443 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:27,465 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:28,488 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:29,510 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:30,531 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:31,554 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:32,576 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:33,599 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:34,621 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:35,642 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:36,664 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:37,686 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:38,709 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:39,731 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:40,752 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:41,773 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:42,795 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:43,818 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:44,840 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:45,863 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:46,883 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:47,905 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:48,927 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:49,949 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:50,970 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:51,992 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:53,015 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:54,034 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:55,050 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:56,073 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:57,095 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
2024-03-04 17:30:58,124 - DEBUG - Arquivos encontrados:['output_2024-03-03.txt', 'output_2024-03-04.txt']
